#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
2764;Martinez L.;;Inter;28;A;Pc;18;6,36;8,19;353;34;LAMINCHIADURA;149
2423;Pulisic;;Milan;27;C;T/A;12;6,75;8,67;277;32;Eintracht Piangoforte;104
4871;Thuram;;Inter;28;A;Pc;13;6,46;7,88;265;30;ASTRO NZONZI;151
6875;Paz N.;;Como;21;C;T/A;18;6,5;7,69;258;30;ASTRO NZONZI;53
2194;Calhanoglu;;Inter;31;C;M/C;15;6,5;7,5;251;28;Eintracht Piangoforte;31
2167;Orsolini;;Bologna;28;C;W/A;18;6,11;6,97;236;24;Spezzacaviglie  FC;75
6052;Hojlund;;Napoli;22;A;Pc;14;6,18;7,57;212;27;Betis Pinilla;94
6434;Yildiz;;Juventus;20;A;A;18;6,5;7,72;205;31;Salisburro;133
4510;Leao;;Milan;26;A;A;12;6,29;8,08;205;30;Chi vuol essere paraguaiano;135
4777;McTominay;;Napoli;29;C;C/T;17;6,41;7,03;200;23;Herta Vernello;83
5734;Soulè;;Roma;22;A;A;18;6,19;7,17;182;24;Salisburro;80
2097;Kean;;Fiorentina;25;A;Pc;18;5,83;6,67;169;19;Hoffenaimer;155
254;Dimarco;;Inter;28;D;E;17;6,62;7,53;121;27;Spezzacaviglie  FC;30
632;Zaccagni;;Lazio;30;C;W/A;17;6,09;6,41;119;16;LAMINCHIADURA;91
4730;Lookman;;Atalanta;28;A;A;10;5,8;6,4;101;15;BREAKING BET;100
531;Berardi;;Sassuolo;31;A;A;11;6,45;7,73;100;22;Hoffenaimer;32
2517;De Bruyne;;Napoli;34;C;T;8;6,38;7,81;100;21;Chi vuol essere paraguaiano;100
2137;Scamacca;;Atalanta;26;A;Pc;12;6,17;7,38;98;21;Salisburro;15
5687;Vlasic;;Torino;28;C;T;19;6,11;6,92;98;19;Hoffenaimer;1
5841;Svilar;;Roma;26;P;Por;19;6,37;5,74;92;19;ASTRO NZONZI;33
4220;Zambo Anguissa;;Napoli;30;C;M/C;11;6,5;7,64;91;21;Betis Pinilla;8
2379;Rabiot;;Milan;30;C;C/T;11;6,5;7;86;21;Hoffenaimer;75
4312;Maignan;;Milan;30;P;Por;17;6,29;5,76;84;19;LAMINCHIADURA;40
